                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     67,               0.045555,               0.034939,               0.053972,              0.0076897,                  0.759,                0.73719,                0.81222,                0.44739,                0.67373,                0.67497,                0.68913,                0.38199,               0.042215,               0.025321,               0.042902,              0.0054048,               0.009681,               0.009681,               0.009681
                     68,               0.045602,               0.033952,               0.052993,              0.0075212,                 0.7738,                0.77817,                0.83691,                0.46536,                0.68345,                0.71114,                0.70823,                0.42151,               0.039871,               0.025308,               0.044034,              0.0055253,              0.0096761,              0.0096761,              0.0096761
                     69,               0.044843,               0.034758,               0.056065,              0.0075666,                0.80657,                0.77685,                0.85106,                0.51233,                0.72258,                0.70635,                0.71352,                0.42238,               0.038036,               0.025804,               0.041923,              0.0055407,              0.0096713,              0.0096713,              0.0096713
                     70,                 0.0445,               0.034632,               0.056206,              0.0076591,                0.79666,                0.80521,                 0.8521,                0.50609,                0.69524,                0.71892,                0.70315,                0.40869,               0.039696,               0.024698,               0.040186,              0.0051475,              0.0096665,              0.0096665,              0.0096665
                     71,               0.043254,               0.035371,               0.051789,               0.007599,                0.86086,                0.82162,                0.89975,                0.52203,                0.75571,                0.73949,                0.74258,                0.38943,               0.036423,               0.026112,                0.04153,              0.0056553,              0.0096616,              0.0096616,              0.0096616
                     72,               0.045016,               0.033909,               0.053581,              0.0072346,                0.73247,                0.82465,                0.82107,                0.44096,                 0.6362,                0.74478,                0.66761,                0.35127,               0.038345,               0.025523,               0.040758,              0.0050835,              0.0096568,              0.0096568,              0.0096568
                     73,               0.042812,               0.034327,               0.054847,              0.0073829,                0.83999,                0.76695,                0.86765,                0.50135,                0.69052,                0.70969,                0.70811,                0.40343,               0.038671,               0.025102,               0.040392,              0.0051506,               0.009652,               0.009652,               0.009652
                     74,               0.043779,               0.033143,               0.052469,              0.0072278,                0.79537,                0.82206,                0.84889,                0.49785,                0.72881,                0.70897,                0.68579,                0.39697,               0.038159,               0.024589,               0.040359,              0.0050379,              0.0096471,              0.0096471,              0.0096471
                     75,               0.044881,               0.032226,               0.051387,              0.0066906,                0.86164,                0.83732,                0.89103,                0.49889,                0.74537,                0.72197,                 0.7115,                0.43178,               0.038558,               0.024956,                0.04061,              0.0050494,              0.0096423,              0.0096423,              0.0096423
                     76,                0.04492,               0.033218,               0.052136,               0.006582,                 0.8309,                0.85233,                0.90137,                 0.5147,                0.73278,                0.75163,                0.73318,                0.45684,               0.038032,               0.024463,               0.039969,              0.0048971,              0.0096375,              0.0096375,              0.0096375
                     77,               0.043824,               0.034783,               0.053543,              0.0074282,                 0.7924,                0.82447,                0.84611,                0.44486,                 0.6421,                0.73188,                0.65767,                 0.3379,               0.040418,               0.025946,                0.04082,              0.0048694,              0.0096326,              0.0096326,              0.0096326
                     78,               0.044998,               0.034316,               0.050905,              0.0071062,                0.84131,                0.85284,                0.89562,                0.48457,                0.75282,                0.75207,                0.74746,                0.37803,               0.038289,               0.024608,               0.040821,              0.0048569,              0.0096278,              0.0096278,              0.0096278
                     79,               0.043737,               0.033367,               0.050262,              0.0072155,                 0.8786,                0.84833,                0.90919,                0.50499,                0.77956,                0.78014,                0.77652,                0.45662,               0.038568,               0.024108,                0.04037,              0.0046592,              0.0096229,              0.0096229,              0.0096229
                     80,               0.045698,               0.033329,               0.052395,              0.0068634,                0.86276,                0.84774,                0.90633,                0.52383,                0.76779,                0.73324,                0.75907,                0.45234,               0.036848,               0.024194,               0.040118,              0.0046528,              0.0096181,              0.0096181,              0.0096181
                     81,               0.042958,               0.032361,                0.05424,              0.0068811,                 0.8322,                0.82486,                0.86467,                0.45088,                0.72533,                0.73444,                0.71307,                0.38102,               0.042986,               0.024292,               0.040042,              0.0048034,              0.0096133,              0.0096133,              0.0096133
                     82,               0.044092,               0.033879,               0.050408,              0.0064578,                 0.8763,                0.82265,                0.88083,                0.49902,                0.79771,                0.73474,                0.74851,                0.41352,               0.041944,               0.023507,               0.038753,              0.0046378,              0.0096084,              0.0096084,              0.0096084
                     83,               0.044012,               0.031761,               0.048967,              0.0066664,                0.90527,                0.85987,                0.91696,                0.51076,                0.78333,                0.75615,                0.74385,                0.46092,               0.037879,               0.024579,               0.040016,              0.0047381,              0.0096036,              0.0096036,              0.0096036
                     84,               0.042499,               0.033729,               0.051955,              0.0068966,                0.84879,                0.86984,                0.90626,                0.53932,                0.77347,                0.76536,                0.76129,                 0.4633,               0.035973,               0.023379,               0.039505,              0.0047844,              0.0095988,              0.0095988,              0.0095988
                     85,               0.041712,               0.033406,               0.055057,               0.007325,                 0.8738,                 0.8306,                0.90469,                0.48474,                0.77955,                0.75398,                0.75355,                0.39443,               0.038299,               0.022898,               0.038839,              0.0046888,              0.0095939,              0.0095939,              0.0095939
                     86,               0.043509,               0.032487,               0.050975,              0.0062149,                0.87657,                0.85102,                0.91562,                0.50922,                0.81084,                0.76937,                0.76949,                0.40135,               0.038112,                0.02279,               0.038319,              0.0044281,              0.0095891,              0.0095891,              0.0095891
                     87,               0.042263,               0.031806,               0.049314,              0.0070928,                0.89651,                0.86981,                0.93032,                0.52061,                0.79275,                0.77951,                0.76496,                0.47615,               0.039904,               0.023333,               0.038024,              0.0044215,              0.0095843,              0.0095843,              0.0095843
                     88,               0.042949,               0.032064,               0.051019,               0.006504,                0.86791,                0.84898,                0.91348,                0.51291,                0.76737,                0.74952,                0.75726,                0.47655,               0.037968,               0.023269,               0.040121,              0.0047069,              0.0095794,              0.0095794,              0.0095794
                     89,               0.042214,               0.033206,               0.052518,              0.0066362,                0.88959,                0.82569,                0.91244,                0.51158,                0.80001,                 0.7473,                0.75926,                0.39961,               0.038133,               0.023173,                0.03981,              0.0045174,              0.0095746,              0.0095746,              0.0095746
                     90,               0.042648,                0.03299,               0.050392,              0.0066448,                0.90891,                0.84092,                0.92782,                0.56233,                0.81654,                0.73739,                0.77191,                0.42565,               0.035124,               0.023197,               0.038385,              0.0042399,              0.0095698,              0.0095698,              0.0095698
                     91,               0.040882,               0.032359,               0.050028,              0.0059401,                0.87979,                 0.8544,                0.91647,                0.53473,                0.81134,                0.75989,                0.76524,                0.45887,                0.03674,               0.024818,               0.039777,              0.0044896,              0.0095649,              0.0095649,              0.0095649
                     92,               0.040857,               0.030145,                0.04764,              0.0059569,                0.82315,                 0.8171,                0.88334,                0.52965,                0.70309,                0.74931,                 0.7334,                0.40592,                0.03771,               0.026418,               0.041469,               0.004714,              0.0095601,              0.0095601,              0.0095601
